slot_id,round_no,side,best_of,feeds_winner_slot,feeds_loser_slot,note
R1M1,1,UB,3,R2M1,R1M5,UB QF; loser-drop pairing inferred — verify vs rendered bracket after Aug 16 seeding
R1M2,1,UB,3,R2M1,R1M5,UB QF
R1M3,1,UB,3,R2M2,R1M6,UB QF
R1M4,1,UB,3,R2M2,R1M6,UB QF
R1M5,1,LB,3,R2M3,,LB Round 1 (UB QF losers)
R1M6,1,LB,3,R2M4,,LB Round 1 (UB QF losers)
R2M1,2,UB,3,R4M1,R2M3,UB SF; loser cross-pairing unverified
R2M2,2,UB,3,R4M1,R2M4,UB SF
R2M3,2,LB,3,R3M1,,LB QF
R2M4,2,LB,3,R3M1,,LB QF
R3M1,3,LB,3,R4M2,,LB SF
R4M1,4,UB,3,R5M1,R4M2,UB Final
R4M2,4,LB,3,R5M1,,LB Final
R5M1,5,GF,5,,,Grand Final Bo5
