hero_id,hero,tags,source
1,antimage,nicepecs|parent|purple,client-npc_heroes-2026-08-17
2,axe,bearded|nicepecs|red,client-npc_heroes-2026-08-17
3,bane,badteeth|flying|purple,client-npc_heroes-2026-08-17
4,bloodseeker,badteeth|caped|masked|red,client-npc_heroes-2026-08-17
5,crystal_maiden,blue|caped|cute|female|icy,client-npc_heroes-2026-08-17
6,drow_ranger,caped|female|icy|purple,client-npc_heroes-2026-08-17
7,earthshaker,brown|fuzzy,client-npc_heroes-2026-08-17
8,juggernaut,badteeth|bearded|masked|nicepecs,client-npc_heroes-2026-08-17
9,mirana,blue|female|steed,client-npc_heroes-2026-08-17
10,morphling,aquatic|blue,client-npc_heroes-2026-08-17
11,nevermore,demon|flying|red,client-npc_heroes-2026-08-17
12,phantom_lancer,bearded|blue,client-npc_heroes-2026-08-17
13,puck,blue|cute|flying|wings,client-npc_heroes-2026-08-17
14,pudge,badteeth|nicepecs|potbelly|red|undead,client-npc_heroes-2026-08-17
15,razor,blue|flying,client-npc_heroes-2026-08-17
16,sand_king,brown,client-npc_heroes-2026-08-17
17,storm_spirit,bearded|blue|spirit,client-npc_heroes-2026-08-17
18,sven,blue|masked|nicepecs|red,client-npc_heroes-2026-08-17
19,tiny,brown,client-npc_heroes-2026-08-17
20,vengefulspirit,blue|female|spirit|undead,client-npc_heroes-2026-08-17
21,windrunner,caped|cute|female|green,client-npc_heroes-2026-08-17
22,zuus,bearded|blue|nicepecs|parent,client-npc_heroes-2026-08-17
23,kunkka,aquatic|bearded|undead,client-npc_heroes-2026-08-17
25,lina,female|fiery|flying|red,client-npc_heroes-2026-08-17
26,lion,caped|demon|purple,client-npc_heroes-2026-08-17
27,shadow_shaman,badteeth|masked|yellow,client-npc_heroes-2026-08-17
28,slardar,aquatic|purple,client-npc_heroes-2026-08-17
29,tidehunter,aquatic|badteeth|green|potbelly,client-npc_heroes-2026-08-17
30,witch_doctor,badteeth|potbelly|purple,client-npc_heroes-2026-08-17
31,lich,blue|flying|icy|undead,client-npc_heroes-2026-08-17
32,riki,bearded|horns|purple,client-npc_heroes-2026-08-17
33,enigma,flying|nicepecs|purple,client-npc_heroes-2026-08-17
34,tinker,bearded|brown|masked|yellow,client-npc_heroes-2026-08-17
35,sniper,bearded|caped|red,client-npc_heroes-2026-08-17
36,necrolyte,bearded|green|undead,client-npc_heroes-2026-08-17
37,warlock,bearded|caped|red,client-npc_heroes-2026-08-17
38,beastmaster,bearded|horns|nicepecs|red,client-npc_heroes-2026-08-17
39,queenofpain,blue|demon|female|horns|wings,client-npc_heroes-2026-08-17
40,venomancer,green,client-npc_heroes-2026-08-17
41,faceless_void,nicepecs|purple,client-npc_heroes-2026-08-17
42,skeleton_king,bearded|green|undead,client-npc_heroes-2026-08-17
43,death_prophet,arachnophobic|female|flying|undead,client-npc_heroes-2026-08-17
44,phantom_assassin,caped|female|green,client-npc_heroes-2026-08-17
45,pugna,caped|green|horns|undead,client-npc_heroes-2026-08-17
46,templar_assassin,female|masked|purple,client-npc_heroes-2026-08-17
47,viper,arachnophobic|flying|green|wings,client-npc_heroes-2026-08-17
48,luna,blue|female|steed,client-npc_heroes-2026-08-17
49,dragon_knight,fiery|red,client-npc_heroes-2026-08-17
50,dazzle,purple,client-npc_heroes-2026-08-17
51,rattletrap,arachnophobic|masked|red,client-npc_heroes-2026-08-17
52,leshrac,blue|horns,client-npc_heroes-2026-08-17
53,furion,arachnophobic|bearded|caped|green,client-npc_heroes-2026-08-17
54,life_stealer,badteeth|undead,client-npc_heroes-2026-08-17
55,dark_seer,bearded|parent|purple,client-npc_heroes-2026-08-17
56,clinkz,fiery|horns|undead|yellow,client-npc_heroes-2026-08-17
57,omniknight,bearded|caped,client-npc_heroes-2026-08-17
58,enchantress,arachnophobic|cute|female|fuzzy|green|horns,client-npc_heroes-2026-08-17
